filename, brick, metal, null, other, stucco, wood,pred_ brick,pred_ metal,pred_ null,pred_ other,pred_ stucco,pred_ wood
m-3088-L_jpg.rf.31dd04948d494680e93d2b5049725027.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
m-2246-L_jpg.rf.690dec23b34cd4a74ed8d02c66682b30.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
m-4819-L_jpg.rf.80217280c8766b96ca8306758063386e.jpg,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
m-258-L_jpg.rf.684bc1cedffd9f3451245d5d154bd205.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
m-385-L_jpg.rf.701b9a3b2afbe11bc6a2e3e7106a238f.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
m-701-L_jpg.rf.0c45e955b2bddedb7a5f543b9416a846.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
m-2808-L_jpg.rf.e5b6e19ba7c99c322794d529b3671d51.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
m-470-L_jpg.rf.5806bb02035b790f0199f97cd3aaddab.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
m-3724-L_jpg.rf.3a58269128746985e01d64f6614fe459.jpg,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
m-891-L_jpg.rf.49b9477afe18b954ac587653c5dff5a3.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-3174-L_jpg.rf.5df252918398657f24d6c2a9df6db184.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
m-3090-L_jpg.rf.3fdc75ea7053eba47d902930f40d0da1.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
m-3735-L_jpg.rf.bb001eb2521c9fbe166c72c7ffc4738c.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-2953-L_jpg.rf.7ac11dbc116e6d828ffd04a7fa7badeb.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-2292-L_jpg.rf.b76485879e0570e2944826413d24d51b.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
m-3218-L_jpg.rf.dbfac1dc0cbcaeb354ebf731f6feb946.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
m-294-L_jpg.rf.0befa77383c050aa29cbdebd0bc2592b.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
m-3451-L_jpg.rf.9372624c5e8a704a56f333a85f9df704.jpg,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
m-480-L_jpg.rf.a1a412e1475932ff99300f00b299aa27.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
m-2106-L_jpg.rf.b8b77bfb602b4fdf1f0c0d7a51f585ed.jpg,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
m-3022-L_jpg.rf.2bd22655738e28fb59a505054ec63e56.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-2895-L_jpg.rf.9d7083ab960956410d3847c79176ab56.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2022-L_jpg.rf.c986d1874b25a6bd0ecf1d66030eb8ac.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
m-28-L_jpg.rf.8f00ebb86cf5f3803c810d35bc7e8750.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
m-4830-L_jpg.rf.15306accc8363059e588d8c8e5583cf2.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
m-902-L_jpg.rf.3e163155007b1f1d5c35ec25c630418b.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
m-2961-L_jpg.rf.1cf13b284f09edb88f02c78a936e05f9.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-2075-L_jpg.rf.da95658e468be390884ee5b4a37221eb.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
m-3438-L_jpg.rf.41bf6a9b49ae04c3bce5399d0442c246.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
m-452-L_jpg.rf.394ca77f31ea4d1358bea20201361fbc.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
