filename, brick, null, other, rustication, siding, stucco,pred_ brick,pred_ null,pred_ other,pred_ rustication,pred_ siding,pred_ stucco
m-674-L_jpg.rf.d1a8a869f725590eaab024ccf9bfd7b9.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
m-569-L_jpg.rf.26394a7985c2b54b1470dda3fc242bca.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-3976-L_jpg.rf.40c1e099fd432929be25a184b53d4d05.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-189-L_jpg.rf.250509bda974a390df96d4c1d3e54a30.jpg,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
m-469-L_jpg.rf.af1036f7bbd5d4b45aa5fab99e6adf89.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
m-3712-L_jpg.rf.4da38c9feee6fcb2c64573ebc1f314a9.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2586-L_jpg.rf.f97b8afe590756483964d7f2829464f2.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
m-4567-L_jpg.rf.84fe0f443ed901863d3f0ce005b02648.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
m-3112-L_jpg.rf.70745a046acf5c7931a35fdda18ff7a3.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-213-L_jpg.rf.50e01431718f1b49c76322190e64be5d.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
