filename, brick, null, other, rustication, stucco, wood,pred_ brick,pred_ null,pred_ other,pred_ rustication,pred_ stucco,pred_ wood
m-5009-21_jpg.rf.a8bf328919aa5166ffc42b466b7e2c90.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
m-6057-29_jpg.rf.91afa92fd47deb293edfe42762da1d7b.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
m-3592-62_jpg.rf.32a0e3890bb64a8f7eafbb602b8e4d93.jpg,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
m-3035-313_jpg.rf.ca8cd746cbd165fe24bec052612e4b9b.jpg,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
m-3042-279_jpg.rf.00632e258e41d1c7ce12d3284184cace.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
m-3984-321_jpg.rf.fde01bc971b3c93599038f83c8b92611.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
m-3120-312_jpg.rf.af04dd2b9bbbe06b59e7279e358e6c43.jpg,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
m-1240-294_jpg.rf.f93c768bfe6e46fc2dd9d8ad7ed90bfa.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
m-3181-34_jpg.rf.d122909d567c97e1c1dcec74fa7249a7.jpg,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
m-2306-345_jpg.rf.f64b444dd6dd2a89ff08583500f37027.jpg,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
m-3188-330_jpg.rf.ce8f8520a70596f9acea16b0c7800a3e.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
m-3040-45_jpg.rf.0e2df0fea4c115d964ffc81046e8df53.jpg,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
m-3416-291_jpg.rf.e0fe1f35d295cbac81af3a9a23c533c7.jpg,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
m-3798-36_jpg.rf.0e27a2bb72920066010ff1199fd8dd5b.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-3462-294_jpg.rf.b75cc47bdc504e645cdd249953a2211a.jpg,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
m-3824-311_jpg.rf.30985b237df7eeb1c17c61d39d84fee8.jpg,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
m-82-285_jpg.rf.507e1f4a36eecc5802cda05b0c78908f.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
